hamster,mouse
Hsph1,Hsph1
Parp1,Parp1
Slc1a3,Slc1a3
Taf7,Taf7
Gpi,Gpi1
Htr2a,Htr2a
Hspd1,Hspd1
Rcan1,Rcan1
Elk3,Elk3
Tcp1,Tcp1
Mt1,Mt1
Mt2,Mt2
Adk,Adk
Scarb1,Scarb1
Efemp2,Efemp2
Pea15,Pea15a
Smu1,Smu1
Pex7,Pex7
Bmpr1a,Bmpr1a
Meltf,Meltf
Cd300lb,Cd300lb
LOC100750340,Ugt2b1
Lamtor1,Lamtor1
Tvp23a,Tvp23a
Dmc1,Dmc1
Ntn1,Ntn1
Pdhx,Pdhx
Hilpda,Hilpda
Rps6ka4,Rps6ka4
Gpat2,Gpat2
Gstm3,Gstm5
Xpo6,Xpo6
Amer3,Amer3
Tctn1,Tctn1
LOC100750363,Bmyc
LOC100750364,Slc7a13
LOC100750367,Coa8
Smarca1,Smarca1
Dis3,Dis3
Sh3kbp1,Sh3kbp1
Hoxb4,Hoxb4
LOC100750377,Or10z1
Socs4,Socs4
Pdzd8,Pdzd8
LOC100750381,Aim2
Axin2,Axin2
Slc15a5,Slc15a5
Lrrc40,Lrrc40
Slc25a23,Slc25a23
Itga1,Itga1
Pno1,Pno1
Madcam1,Madcam1
Pxk,Pxk
Etv3,Etv3
Chchd3,Chchd3
Cpne5,Cpne5
Nhs,Nhs
LOC100750407,Trim32
Ppt1,Ppt1
Myoc,Myoc
Mrgprg,Mrgprg
LOC100750411,Steap4
Chd8,Chd8
Cuedc2,Cuedc2
Mbd5,Mbd5
N4bp1,N4bp1
Actr3b,Actr3b
Chrdl1,Chrdl1
Pde2a,Pde2a
Il17a,Il17a
LOC100750423,Gm6377
Psmd2,Psmd2
Btrc,Btrc
Dtl,Dtl
Sypl2,Sypl2
Atp4b,Atp4b
Rnf40,Rnf40
LOC100750437,Slc2a13
Akr1e2,Akr1e1
Sfxn3,Sfxn3
Slc38a8,Slc38a8
Selenof,Selenof
Pdcd6,Pdcd6
Tfb1m,Tfb1m
Tprn,Tprn
Jakmip3,Jakmip3
Itm2c,Itm2c
Tlr3,Tlr3
Cidec,Cidec
Gpbp1l1,Gpbp1l1
Serpinc1,Serpinc1
Zw10,Zw10
Bcl10,Bcl10
Il18,Il18
Tmtc2,Tmtc2
Klhl11,Klhl11
Hemk1,Hemk1
Gpr19,Gpr19
Myt1l,Myt1l
Tekt4,Tekt4
Pgam5,Pgam5
C2H2orf69,1700066M21Rik
Dennd11,Dennd11
Ikbkb,Ikbkb
Vangl1,Vangl1
Ppp1r17,Ppp1r17
Dnajb5,Dnajb5
Fmo5,Fmo5
Ccdc39,Ccdc39
Ubap1l,Ubap1l
Cdc42bpa,Cdc42bpa
Alx4,Alx4
Znf451,Zfp451
LOC100750508,Cyp2d22
Cbx7,Cbx7
Plaat1,Plaat1
LOC100750516,Or8b54
Enpp1,Enpp1
Mcidas,Mcidas
Dclre1a,Dclre1a
Capza1,Capza1
Ms4a10,Ms4a10
Trh,Trh
Jag1,Jag1
LOC100750526,Pnkd
LOC100750529,Or5b95
Gclm,Gclm
Vwf,Vwf
Xpo7,Xpo7
LOC100750533,Grap
Prpf18,Prpf18
Bin2,Bin2
LOC100750542,Slc45a1
Rad21,Rad21
Got1l1,Got1l1
Hexa,Hexa
LOC100750553,Or9s14
Acbd6,Acbd6
Nr3c2,Nr3c2
Phlpp1,Phlpp1
Defb129,Defb23
Apc,Apc
Tspyl4,Tspyl4
Dus2,Dus2
Ptgr2,Ptgr2
Kmt2b,Kmt2b
Xylb,Xylb
Rcbtb2,Rcbtb2
Invs,Invs
Ankrd49,Ankrd49
Mrto4,Mrto4
Snx18,Snx18
Bard1,Bard1
LOC100750593,Scd1
Stk35,Stk35
LOC100750599,Prss30
LOC100750601,Prl
Cnpy4,Cnpy4
Pfdn6,Pfdn6
Vnn1,Vnn1
Ap2b1,Ap2b1
Irx1,Irx1
Tc2n,Tc2n
Grin2d,Grin2d
Rrp15,Rrp15
Bnip2,Bnip2
Ldb3,Ldb3
Pigz,Pigz
Ccdc50,Ccdc50
Lrrc51,Lrrc51
Kdelr3,Kdelr3
Pex16,Pex16
Cd44,Cd44
Garin1a,Garin1a
Astl,Astl
LOC100750644,Gstm7
Sstr3,Sstr3
Olfml2a,Olfml2a
Aspg,Aspg
Eif1ax,Eif1ax
Hoxb3,Hoxb3
Gch1,Gch1
Fam20a,Fam20a
Slc13a3,Slc13a3
Hpca,Hpca
Dera,Dera
Asip,a
Srsf11,Srsf11
She,She
Tnfsf9,Tnfsf9
Ern1,Ern1
Pelo,Pelo
Pear1,Pear1
Exoc4,Exoc4
Ambp,Ambp
Pi16,Pi16
Zcchc7,Zcchc7
LOC100750695,Astn2
Rragc,Rragc
Dll1,Dll1
Prrc2c,Prrc2c
Mrgpre,Mrgpre
Slc25a40,Slc25a40
B3gat1,B3gat1
Fev,Fev
Supt16h,Supt16
Xrcc2,Xrcc2
Brwd1,Brwd1
LOC100750711,Ube2b
Camk2n2,Camk2n2
Ints7,Ints7
Sort1,Sort1
Grk1,Grk1
Gde1,Gde1
Klf6,Klf6
Kazald1,Kazald1
Osgin1,Osgin1
Arg1,Arg1
Epha7,Epha7
Sdha,Sdha
Rbm19,Rbm19
Tmem203,Tmem203
Kcnk10,Kcnk10
Stk32c,Stk32c
Azi2,Azi2
Gpr55,Gpr55
LOC100750743,Cyp4v3
LOC100750745,Or5b21
Arfgef1,Arfgef1
Rc3h1,Rc3h1
Agbl1,Agbl1
Pts,Pts
Chit1,Chit1
Slc25a42,Slc25a42
Pik3r1,Pik3r1
Chpt1,Chpt1
Gtf2a1,Gtf2a1
St8sia5,St8sia5
Mapk8ip3,Mapk8ip3
LOC100750768,Prss29
Ankle2,Ankle2
Laptm4a,Laptm4a
Wee2,Wee2
Rictor,Rictor
Fancb,Fancb
Plat,Plat
Coq5,Coq5
LOC100750777,Or4d2
Ngf,Ngf
Mtmr3,Mtmr3
Nbn,Nbn
Slitrk2,Slitrk2
Glis2,Glis2
Ttc14,Ttc14
LOC100750789,Or10k2
Thap12,Thap12
Rasl12,Rasl12
Mog,Mog
Ttc17,Ttc17
Bag2,Bag2
Ndufa6,Ndufa6
Agtr1,Agtr1b
Sct,Sct
Cdipt,Cdipt
Tsc22d4,Gm57848
Hbs1l,Hbs1l
Efemp1,Efemp1
Ccn2,Ccn2
Mov10,Mov10
Ptgdr2,Ptgdr2
Ankef1,Ankef1
Tmbim1,Tmbim1
Dnm1l,Dnm1l
LOC100750822,Uqcrc2
Slc5a10,Slc5a10
Frmd4a,Frmd4a
Ttc39a,Ttc39a
Nr2e1,Nr2e1
Cela1,Cela1
LOC100750830,Arrb2
LOC100750836,Rps27l
Galnt17,Galnt17
Duoxa1,Duoxa1
Rab11fip1,Rab11fip1
Parp6,Parp6
LOC100750846,Or52z13
Lhx4,Lhx4
Tfec,Tfec
Relch,Relch
Prodh,Prodh
Col10a1,Col10a1
Ddx28,Ddx28
Hsd17b1,Hsd17b1
Fezf1,Fezf1
Znf410,Zfp410
Upk1a,Upk1a
Exog,Exog
Lpar6,Lpar6
Coq10a,Coq10a
Psma2,Psma2
Mre11,Mre11a
Trappc8,Trappc8
Arl15,Arl15
Abca12,Abca12
Aqp6,Aqp6
Ttc3,Ttc3
Rell2,Rell2
LOC100750890,Scd2
Ntn5,Ntn5
Aacs,Aacs
Pdyn,Pdyn
Atic,Atic
Hps5,Hps5
Kpna7,Kpna7
LOC100750898,Prl3b1
Dennd2b,Dennd2b
Wdr46,Wdr46
Slc2a2,Slc2a2
Phkg2,Phkg2
Fbxo15,Fbxo15
Ncbp2,Ncbp2
Gmnc,Gmnc
Gprc5c,Gprc5c
Bsnd,Bsnd
Ppp2r2c,Ppp2r2c
Pla2g4a,Pla2g4a
Large2,Large2
Calu,Calu
C1qtnf6,C1qtnf6
Higd2a,Higd2a
LOC100750943,Prss40
Plekho1,Plekho1
Kif26a,Kif26a
Ebf4,Ebf4
Rps6ka3,Rps6ka3
Hoxb2,Hoxb2
Arl13a,Arl13a
LOC100750957,Or7e177
Pld5,Pld5
Lca5,Lca5
Samd4a,Samd4
Emx2,Emx2
LOC100750962,Or10aa3
Wipi1,Wipi1
Qki,Qki
Ocstamp,Ocstamp
S100pbp,S100pbp
Eps8,Eps8
Il6r,Il6ra
Icam2,Icam2
Utp11,Utp11
Cep20,Cep20
Insrr,Insrr
Lrguk,Lrguk
Rgs3,Rgs3
Golph3,Golph3
Mtch1,Mtch1
Zbtb5,Zbtb5
Robo2,Robo2
Mycbp,Mycbp
Fam120b,Fam120b
Fmo1,Fmo1
Crot,Crot
Fgf8,Fgf8
Ptchd4,Ptchd4
Prkch,Prkch
Golga1,Golga1
Atg16l2,Atg16l2
Il17f,Il17f
LOC100751005,Brwd3
Mob1b,Mob1b
Lpgat1,Lpgat1
Med13,Med13
Celsr2,Celsr2
Psmd10,Psmd10
Tpp2,Tpp2
Tacr3,Tacr3
Pitrm1,Pitrm1
Tlx1,Tlx1
Hsbp1,Hsbp1
Kit,Kit
Tbx5,Tbx5
Gpr65,Gpr65
Asb14,Asb14
Zfp91,Zfp91
Il17re,Il17re
Mmachc,Mmachc
Fgf10,Fgf10
Mybph,Mybph
Has2,Has2
Plvap,Plvap
Spic,Spic
Ston2,Ston2
Loxhd1,Loxhd1
Rab15,Rab15
Kctd18,Kctd18
Matn3,Matn3
Glra2,Glra2
Ap3m2,Ap3m2
Trpv4,Trpv4
Epx,Epx
Tshb,Tshb
Gars1,Gars1
Calb1,Calb1
Bcl3,Bcl3
Scn7a,Scn7a
Tfap4,Tfap4
Dnajc19,Dnajc19
Fign,Fign
Slc51b,Slc51b
Tmem63a,Tmem63a
Smdt1,Smdt1
Cpb1,Cpb1
Drd4,Drd4
Mvp,Mvp
Poll,Poll
LOC100751097,Necab1
Nyap1,Nyap1
Chek1,Chek1
Pex12,Pex12
Alpk3,Alpk3
Enpp3,Enpp3
Nhlrc2,Nhlrc2
Foxb1,Foxb1
Ppm1j,Ppm1j
Zp1,Zp1
Yars2,Yars2
Plekhg6,Plekhg6
Bmp1,Bmp1
Eps15,Eps15
LOC100751123,Tomt
Csnk1d,Csnk1d
Galnt6,Galnt6
Cxcl16,Cxcl16
Taf1,Taf1
Med30,Med30
Caln1,Caln1
Duoxa2,Duoxa2
Adgra2,Adgra2
Gpc1,Gpc1
Tor1aip1,Tor1aip1
Ddx47,Ddx47
Hic2,Hic2
Slc39a12,Slc39a12
Lrrc1,Lrrc1
Frk,Frk
Afdn,Afdn
Slc12a4,Slc12a4
Aass,Aass
Coq6,Coq6
Rbm42,Rbm42
Scn5a,Scn5a
Ankrd52,Ankrd52
Mrpl32,Mrpl32
Pdzd4,Pdzd4
Epb41l3,Epb41l3
LOC100751176,Moxd2
Vwc2l,Vwc2l
Racgap1,Racgap1
Cldn14,Cldn14
Rnf14,Rnf14
Fn1,Fn1
Akip1,Akip1
Slc6a14,Slc6a14
LOC100751196,Akp3
B3galt4,B3galt4
LOC100751198,Taar4
Helt,Helt
Catsperb,Catsperb
Tmem143,Tmem143
Enox2,Enox2
Senp5,Senp5
Kif19,Kif19a
Acad8,Acad8
Vill,Vill
Socs1,Socs1
Ptgs2,Ptgs2
Pik3r5,Pik3r5
Opn1sw,Opn1sw
Ncaph,Ncaph
Nop16,Nop16
LOC100751235,Ift70a1
Vps29,Vps29
Bcl9,Bcl9
Anp32e,Anp32e
C1galt1c1,C1galt1c1
Tmc2,Tmc2
Klf12,Klf12
Cdkl5,Cdkl5
Hoxb1,Hoxb1
Trmt2b,Trmt2b
Becn2,Becn2
LOC100751255,Or6n2
Arsg,Arsg
Tmem115,Tmem115
Pacrg,Pacrg
Yars1,Yars1
Strap,Strap
Itch,Itch
Atp8b2,Atp8b2
LOC100751267,Tcam1
Fhl3,Fhl3
LOC100751269,Cyp1a1
Mpv17l,Mpv17l
Ntrk1,Ntrk1
Akr1b1,Akr1b1
Aven,Aven
Psmd6,Psmd6
Pim1,Pim1
Clcn1,Clcn1
Slc35d1,Slc35d1
Sost,Sost
LOC100751280,Cyp24a1
LOC100751281,Or7c70
Polr1e,Polr1e
Asap3,Asap3
Akirin1,Akirin1
Psmb1,Psmb1
LOC100751286,Fmo6
Ythdf3,Ythdf3
Wnt6,Wnt6
Hnrnpc,Hnrnpc
Hsd17b12,Hsd17b12
Npm3,Npm3
Hif1a,Hif1a
Dck,Dck
Nek2,Nek2
Rab32,Rab32
Aldh8a1,Aldh8a1
Acsm3,Acsm3
Tmc5,Tmc5
LOC100751311,Pdzd7
Cdh13,Cdh13
Asb12,Asb12
Tenm3,Tenm3
Lrrc14b,Lrrc14b
Tbx3,Tbx3
LOC100751321,Pms1
Flrt2,Flrt2
Appl1,Appl1
Mmadhc,Mmadhc
Il17rc,Il17rc
Mpzl2,Mpzl2
Hhex,Hhex
Ttc12,Ttc12
Adora1,Adora1
Gtpbp3,Gtpbp3
Arl1,Arl1
Sel1l,Sel1l
Nebulette,Nebl
Gpx2,Gpx2
Pign,Pign
Wdr35,Wdr35
Prss37,Prss37
Kat6a,Kat6a
LOC100751363,Or4d2b
LOC100751364,Nr1h5
Lsamp,Lsamp
Cblc,Cblc
Scn9a,Scn9a
Adcy9,Adcy9
Mafb,Mafb
Uvrag,Uvrag
Mtfmt,Mtfmt
LOC100751377,Lefty1
LOC100751378,H2-M5
Igsf11,Igsf11
Pheta2,Pheta2
Cpa3,Cpa3
Gtf2h1,Gtf2h1
Trpa1,Trpa1
Tmem80,Tmem80
LOC100751390,Irs3
Stt3a,Stt3a
Fbxo42,Fbxo42
Pcnx4,Pcnx4
Tafa3,Tafa3
Prpf19,Prpf19
Pkp2,Pkp2
