hamster,mouse
Mdc1,Mdc1
Coro6,Coro6
Gemin6,Gemin6
Otud3,Otud3
Inhbe,Inhbe
Prkd3,Prkd3
Srf,Srf
Cdkl4,Cdkl4
Slc17a7,Slc17a7
Tut1,Tut1
Pcdh18,Pcdh18
Cdhr5,Cdhr5
Unc93b1,Unc93b1
LOC100756179,Pbsn
Garin5a,Garin5a
Ankrd54,Ankrd54
Slc25a46,Slc25a46
Dhrs3,Dhrs3
LOC100756188,Mycs
Noa1,Noa1
C2H18orf54,4930503L19Rik
Arl6ip5,Arl6ip5
Znf148,Zfp148
Mrps7,Mrps7
Prr27,Prr27
Cops7a,Cops7a
Ankrd61,Ankrd61
Flii,Flii
Babam2,Babam2
Pla2g10,Pla2g10
Scamp2,Scamp2
Plin2,Plin2
Exoc3,Exoc3
Guf1,Guf1
Wipf1,Wipf1
Dpp7,Dpp7
Senp8,Senp8
Use1,Use1
Psmb3,Psmb3
Dusp4,Dusp4
Erap1,Erap1
Ninj2,Ninj2
Angpt2,Angpt2
Mpnd,Mpnd
Bpnt2,Bpnt2
Mdh1b,Mdh1b
Bpifb3,Bpifb3
Erg28,Erg28
Tmem30a,Tmem30a
Baat,Baat
Btbd9,Btbd9
Ada,Ada
Myom3,Myom3
Pou3f4,Pou3f4
Ttc21a,Ttc21a
Naif1,Naif1
Brcc3,Brcc3
Mroh1,Mroh1
Dnajc6,Dnajc6
Rnase1,Rnase1
Mos,Mos
Miox,Miox
Dnajc25,Dnajc25
Gnb2,Gnb2
Kcnk9,Kcnk9
Kat8,Kat8
Il2rg,Il2rg
Trpt1,Trpt1
Spata18,Spata18
Akap6,Akap6
LOC100756290,Or2ag2
Kdr,Kdr
Fzd4,Fzd4
Fam171a1,Fam171a1
Hnrnpul2,Hnrnpul2
Frrs1,Frrs1
Cblif,Cblif
Pomc,Pomc
Slf2,Slf2
Abtb2,Abtb2
Coprs,Coprs
Tgm5,Tgm5
LOC100756322,Hjv
Traf3,Traf3
Focad,Focad
Csrp1,Csrp1
Smarca4,Smarca4
LOC100756330,Retnlg
Fam120c,Fam120c
Mon1a,Mon1a
Zwilch,Zwilch
Ist1,Ist1
Slc41a1,Slc41a1
Atp11c,Atp11c
Entrep3,Entrep3
Khnyn,Khnyn
Cyria,Cyria
Snap29,Snap29
Zmat4,Zmat4
Txndc9,Txndc9
Ankrd13a,Ankrd13a
Dhx40,Dhx40
Spop,Spop
Slc25a39,Slc25a39
Cavin1,Cavin1
Pik3c2a,Pik3c2a
LOC100756351,Or4a47
Vasp,Vasp
Iqsec3,Iqsec3
Spdef,Spdef
Atp2a3,Atp2a3
Impg2,Impg2
Spata24,Spata24
Gpr174,Gpr174
Hmgcr,Hmgcr
Rps6ka6,Rps6ka6
Med21,Med21
Gal3st1,Gal3st1
Nipsnap2,Nipsnap2
Naprt,Naprt
Ahsa2p,Ahsa2
Ankrd46,Ankrd46
Nherf4,Nherf4
Chrdl2,Chrdl2
Oard1,Oard1
Pax9,Pax9
Rprm,Rprm
LOC100756381,Togaram1
Tex261,Tex261
Triml2,Triml2
Ifitm5,Ifitm5
Crcp,Crcp
Arhgef10l,Arhgef10l
Adamts7,Adamts7
Dagla,Dagla
Prdm10,Prdm10
Smap1,Smap1
Edrf1,Edrf1
Dimt1,Dimt1
LOC100756398,Coa7
Slc22a8,Slc22a8
Mylk4,Mylk4
Ghrh,Ghrh
Cldn25,Cldn25
Acp2,Acp2
Dmap1,Dmap1
Hes2,Hes2
Cachd1,Cachd1
Isx,Isx
Hykk,Hykk
Neil2,Neil2
Nifk,Nifk
Slc33a1,Slc33a1
Lmx1b,Lmx1b
Map2,Map2
Heatr3,Heatr3
Ltv1,Ltv1
Pttg1ip,Pttg1ip
Trim62,Trim62
Avpr1a,Avpr1a
LOC100756432,H2bc1
Sema7a,Sema7a
Cse1l,Cse1l
Dpy19l3,Dpy19l3
Pmf1,Pmf1
Ntsr1,Ntsr1
B3galnt1,B3galnt1
Fkbp15,Fkbp15
LOC100756440,Smn1
Slc25a48,Slc25a48
Ccn6,Ccn6
Il7,Il7
Ctrl,Ctrl
Arhgef5,Arhgef5
Nit2,Nit2
LOC100756448,Or5t16
Dysf,Dysf
Tcf19,Tcf19
Serping1,Serping1
Musk,Musk
Arhgap9,Arhgap9
Ndufaf7,Ndufaf7
Pdlim1,Pdlim1
Dnph1,Dnph1
Dsel,Dsel
Cic,Cic
Deaf1,Deaf1
Prkx,Prkx
LOC100756472,Klk11
Micall1,Micall1
Cd320,Cd320
LOC100756479,2700097O09Rik
Fgd4,Fgd4
Hlx,Hlx
Tmf1,Tmf1
Ncoa4,Ncoa4
Gga3,Gga3
Lag3,Lag3
Cyth3,Cyth3
Csrnp2,Csrnp2
Slc46a3,Slc46a3
Dnah2,Dnah2
Phf19,Phf19
LOC100756505,Ahrr
Aldh7a1,Aldh7a1
LOC100756511,Pde11a
Snx10,Snx10
Myo9b,Myo9b
Pja2,Pja2
Cwc25,Cwc25
Tnks,Tnks
Sema5a,Sema5a
B4galnt3,B4galnt3
Hnrnph3,Hnrnph3
Fgd6,Fgd6
Traf7,Traf7
Chaf1a,Chaf1a
Smap2,Smap2
Adam23,Adam23
Pcsk4,Pcsk4
Ttll5,Ttll5
LOC100756544,Ccn5
Il22ra1,Il22ra1
Cd72,Cd72
Lsm8,Lsm8
Susd3,Susd3
Xirp1,Xirp1
LOC100756552,Or9g3
Cbx4,Cbx4
Stradb,Stradb
Rnf152,Rnf152
Lepr,Lepr
Ankrd50,Ankrd50
Gabrd,Gabrd
Epb41l2,Epb41l2
Lmf2,Lmf2
Zan,Zan
Foxo4,Foxo4
Nudt22,Nudt22
Sgcb,Sgcb
Mcm5,Mcm5
Zc4h2,Zc4h2
Insyn2b,Insyn2b
Efna5,Efna5
Srm,Srm
Ptpre,Ptpre
Birc2,Birc2
Adgrl4,Adgrl4
LOC100756601,Spink6
Jagn1,Jagn1
Npb,Npb
Dtnb,Dtnb
Sema4g,Sema4g
Padi1,Padi1
Cpa2,Cpa2
Lcor,Lcor
Ccndbp1,Ccndbp1
Gdf9,Gdf9
Exoc3l4,Exoc3l4
Tnni1,Tnni1
Mreg,Mreg
Yipf2,Yipf2
Phf8,Phf8
Trim50,Trim50
Dhodh,Dhodh
Slc26a9,Slc26a9
Gba1,Gba1
Cbln3,Cbln3
Ddx1,Ddx1
Tcim,Tcim
Cabp1,Cabp1
Bbs2,Bbs2
Cltc,Cltc
Etv5,Etv5
Grn,Grn
Atp6v0a1,Atp6v0a1
Gabpa,Gabpa
Eml2,Eml2
Rps10,Rps10
Zzef1,Zzef1
LOC100756657,Ttc39d
Dnajc18,Dnajc18
Aff2,Aff2
Fgfr1op2,Fgfr1op2
Tcn2,Tcn2
Septin14,Septin14
Chrna9,Chrna9
Actn3,Actn3
Gsdmd,Gsdmd
Usp34,Usp34
Abcg4,Abcg4
Lipt2,Lipt2
Apobec2,Apobec2
Gabrg1,Gabrg1
Prpf39,Prpf39
Paip2b,Paip2b
Triml1,Triml1
LOC100756685,Ifitm2
Asl,Asl
Ctsh,Ctsh
Myrf,Myrf
Sirt4,Sirt4
B3gat2,B3gat2
Mmp21,Mmp21
Ipo11,Ipo11
Wrnip1,Wrnip1
Usp28,Usp28
Ddb2,Ddb2
Slc2a5,Slc2a5
Pierce1,Pierce1
Psma4,Psma4
Clasp1,Clasp1
Znf423,Zfp423
Sf3b5,Sf3b5
Ak2,Ak2
Nfs1,Nfs1
Mast1,Mast1
LOC100756730,H2ac1
Kmt2e,Kmt2e
Tpx2,Tpx2
Ccdc33,Ccdc33
Znfx1,Znfx1
Slc25a44,Slc25a44
Ppm1l,Ppm1l
Mccc2,Mccc2
Wwox,Wwox
Tube1,Tube1
Ranbp10,Ranbp10
Nobox,Nobox
Adam2,Adam2
LOC100756747,Or8h10
Dhx16,Dhx16
Tmem241,Tmem241
Pla2g2c,Pla2g2c
Mars1,Mars1
Cebpz,Cebpz
LOC100756757,Cyp2c70
Ttbk1,Ttbk1
Map4k3,Map4k3
Mfn1,Mfn1
LOC100756768,Klk5
Slc16a8,Slc16a8
Apbb3,Apbb3
Slc22a12,Slc22a12
Pclo,Pclo
Mzt2b,Mzt2
Mtarc1,Mtarc1
Uba3,Uba3
Chat,Chat
Umps,Umps
Stox2,Stox2
Jpt1,Jpt1
Faim2,Faim2
Gnb3,Gnb3
Rac1,Rac1
Map2k3,Map2k3
Tfcp2,Tfcp2
Slc4a1ap,Slc4a1ap
Pomp,Pomp
LOC100756799,Or56a5
Efnb3,Efnb3
Traf1,Traf1
Nphp1,Nphp1
LOC100756805,Ppa2
Phax,Phax
Agps,Agps
Spmip4,Spmip4
Larp6,Larp6
Klhl26,Klhl26
Rerg,Rerg
Purg,Purg
Fcer1a,Fcer1a
Ubxn6,Ubxn6
Zdbf2,Zdbf2
Tgfb3,Tgfb3
Plppr1,Plppr1
Rad1,Rad1
Sh3gl2,Sh3gl2
Kcnk15,Kcnk15
Ifnlr1,Ifnlr1
Tesk1,Tesk1
Cep192,Cep192
Ccdc40,Ccdc40
Itgb4,Itgb4
Trak2,Trak2
Pip5kl1,Pip5kl1
Cdh20,Cdh20
LOC100756855,Smpd5
Arhgef37,Arhgef37
LOC100756859,Or11h6
Ncaph2,Ncaph2
Ptgr1,Ptgr1
Npy5r,Npy5r
Fus,Fus
Snx12,Snx12
Lrrc66,Lrrc66
Hmox1,Hmox1
Mthfsd,Mthfsd
Xylt1,Xylt1
Rab3il1,Rab3il1
Cfap298,Cfap298
Nfrkb,Nfrkb
Mki67,Mki67
Spink14,Spink14
Mrpl16,Mrpl16
Pcyt2,Pcyt2
Asxl2,Asxl2
Twnk,Twnk
Manbal,Manbal
Padi3,Padi3
Fjx1,Fjx1
Cpa4,Cpa4
Slit1,Slit1
Cdan1,Cdan1
Cd3d,Cd3d
Aff4,Aff4
Eif5,Eif5
Tnnt2,Tnnt2
LOC100756921,Hp
Rab7b,Rab7b
LOC100756923,Magea13
Thbs3,Thbs3
Ltb4r2,Ltb4r2
Nbas,Nbas
Lrrc74b,Lrrc74b
Adam18,Adam18
Npas2,Npas2
Acvr1c,Acvr1c
Git2,Git2
Mt4,Mt4
Slc35b1,Slc35b1
Atp5pf,Atp5pf
LOC100756937,Or4a76
Slc25a18,Slc25a18
LOC100756943,Cyb5d2
Trmt10c,Trmt10c
Galm,Galm
Tbx22,Tbx22
LOC100756949,Or4e1
Cdh12,Cdh12
Pdgfd,Pdgfd
Ddx11,Ddx11
LOC100756955,Zfp11
LOC100756957,Doc2g
Ctsf,Ctsf
Zc3h3,Zc3h3
Hinfp,Hinfp
Rnf169,Rnf169
Tspo2,Tspo2
Lipc,Lipc
Rasgrf1,Rasgrf1
Nr1h3,Nr1h3
Gpr157,Gpr157
Ccl20,Ccl20
Ror1,Ror1
Ppp1r26,Ppp1r26
Fbxo22,Fbxo22
Ctsb,Ctsb
LOC100756996,Or5p66
Tfcp2l1,Tfcp2l1
Slc10a1,Slc10a1
Mme,Mme
Aggf1,Aggf1
Gatad2a,Gatad2a
Man2a1,Man2a1
Ptpn4,Ptpn4
Tmem182,Tmem182
Stx11,Stx11
Rnf19b,Rnf19b
Mul1,Mul1
Nr2c1,Nr2c1
Mlst8,Mlst8
Gcdh,Gcdh
Scgn,Scgn
Pmpcb,Pmpcb
LOC100757022,Cox4i2
Stra6,Stra6
Ptgis,Ptgis
Gpatch1,Gpatch1
Sema4a,Sema4a
Mrgbp,Mrgbp
Arl14,Arl14
Gem,Gem
Cartpt,Cartpt
LOC100757037,Or8h9
Exoc6b,Exoc6b
Prr3,Prr3
Trarg1,Trarg1
Smtnl1,Smtnl1
LOC100757042,4930544G11Rik
Slc22a7,Slc22a7
Fut1,Fut1
Gsk3a,Gsk3a
Gnb4,Gnb4
Slc26a3,Slc26a3
Tspan4,Tspan4
Klk4,Klk4
Baiap2l2,Baiap2l2
Cd14,Cd14
L3mbtl3,L3mbtl3
Rasgrp2,Rasgrp2
Cpne3,Cpne3
Poli,Poli
Ccin,Ccin
Mtarc2,Mtarc2
Eogt,Eogt
LOC100757073,Kalrn
Zdhhc4,Zdhhc4
Ptgfr,Ptgfr
Supt7l,Supt7l
Pan3,Pan3
Myoz1,Myoz1
Dock8,Dock8
Wrap53,Wrap53
LOC100757088,Il36a
Lsr,Lsr
LOC100757095,Or5p6
Hnrnpa3,Hnrnpa3
LOC100757101,Cox6a2
Art4,Art4
Fbxo47,Fbxo47
Tex15,Tex15
Klhl2,Klhl2
Cct5,Cct5
Ackr1,Ackr1
Kdm5a,Kdm5a
Kcnq4,Kcnq4
Cmklr2,Cmklr2
Plk5,Plk5
Ift43,Ift43
Brix1,Brix1
Adamtsl1,Adamtsl1
Ywhab,Ywhab
Grhl3,Grhl3
Slc25a38,Slc25a38
Nudt6,Nudt6
Galk1,Galk1
Cflar,Cflar
St6galnac6,St6galnac6
Adgrl3,Adgrl3
Parp10,Parp10
Sh2d1a,Sh2d1a
Ints13,Ints13
Slc35e4,Slc35e4
Faap20,Faap20
Tymp,Tymp
Znf483,Zkscan16
Npy1r,Npy1r
LOC100757158,Pycard
Fkbp2,Fkbp2
Tom1,Tom1
Hpn,Hpn
Profilin-2,Pfn5
Map6,Map6
Foxf1,Foxf1
Fads3,Fads3
Synj1,Synj1
Fbln1,Fbln1
LOC100757178,Krtap3-1
Trpc6,Trpc6
Bccip,Bccip
Creld1,Creld1
Stx3,Stx3
Sirt7,Sirt7
Mrpl43,Mrpl43
Src,Src
Trim44,Trim44
Myom2,Myom2
Haus2,Haus2
Cd3g,Cd3g
Prorp,Prorp
Trmt61a,Trmt61a
Pecr,Pecr
Sall1,Sall1
Tmed1,Tmed1
Nup35,Nup35
Pias1,Pias1
Hip1,Hip1
Txnl4b,Txnl4b
Ctse,Ctse
F9,F9
Trim46,Trim46
P2rx6,P2rx6
Galnt5,Galnt5
Tchp,Tchp
Tubd1,Tubd1
Dgkg,Dgkg
Snrpd2,Snrpd2
Ankfy1,Ankfy1
Rpl24,Rpl24
Mbd6,Mbd6
LOC100757237,Or10g1
Gcnt4,Gcnt4
Ndufv2,Ndufv2
Mmp17,Mmp17
Ndufv1,Ndufv1
Ccs,Ccs
Rhpn1,Rhpn1
Snx31,Snx31
C2cd2l,C2cd2l
Xrra1,Xrra1
Treml4,Treml4
Pkp3,Pkp3
Mindy2,Mindy2
LOC100757262,Akr1b7
Iqgap1,Iqgap1
Tnfsf13b,Tnfsf13b
Bcdin3d,Bcdin3d
Ogfrl1,Ogfrl1
Zfand6,Zfand6
Echdc2,Echdc2
LOC100757280,Daw1
Itgb3bp,Itgb3bp
Mrps2,Mrps2
Nrg4,Nrg4
Defb136,Defb42
Srsf5,Srsf5
Crhbp,Crhbp
F2rl3,F2rl3
Fbxl17,Fbxl17
Epb41l5,Epb41l5
Slc9a2,Slc9a2
Utrn,Utrn
Gpr158,Gpr158
Pink1,Pink1
Ndufa12,Ndufa12
Bricd5,Bricd5
Tnfaip8l1,Tnfaip8l1
Carmil1,Carmil1
Dnajc2,Dnajc2
Hm13,H13
Islr2,Islr2
Snai1,Snai1
Rhpn2,Rhpn2
Kpna4,Kpna4
Lama4,Lama4
Tmco3,Tmco3
Utp4,Utp4
Gpatch8,Gpatch8
Hap1,Hap1
Ephx2,Ephx2
Gnl1,Gnl1
Cpd,Cpd
Timm10,Timm10
Ndnf,Ndnf
Sult6b1,Sult6b1
Znf318,Zfp318
Fgf21,Fgf21
Pou2f2,Pou2f2
Actl6a,Actl6a
Lamb1,Lamb1
Acp4,Acp4
Mfsd1,Mfsd1
Tmco6,Tmco6
Ube4a,Ube4a
Pygm,Pygm
LOC100757353,Or4f60
Baz1a,Baz1a
Igfbp7,Igfbp7
Cngb3,Cngb3
Mbd2,Mbd2
Stk32a,Stk32a
Gusb,Gusb
Tafa1,Tafa1
Fam170b,Fam170b
Slc16a5,Slc16a5
Usp5,Usp5
LOC100757371,Aldh3a1
Dnajb4,Dnajb4
Gpn1,Gpn1
Synpo2l,Synpo2l
Kif3c,Kif3c
LOC100757378,Nufip2
Atp1b2,Atp1b2
Cpa5,Cpa5
Ncs1,Ncs1
Adra2b,Adra2b
Usf2,Usf2
LOC100757388,Or10ab4
Mtx2,Mtx2
Tcf7,Tcf7
Osbpl3,Osbpl3
LOC100757396,Or6f1
Cacnb1,Cacnb1
Ppp2cb,Ppp2cb
Cpe,Cpe
Pcsk1,Pcsk1
Huwe1,Huwe1
Cadm3,Cadm3
Tcte1,Tcte1
Fastkd2,Fastkd2
Mex3d,Mex3d
Mycn,Mycn
Cd109,Cd109
Prlr,Prlr
Tomm34,Tomm34
Stpg1,Stpg1
Rusc2,Rusc2
Foxp3,Foxp3
LOC100757422,Fbxw17
Mc2r,Mc2r
Card14,Card14
Fgf2,Fgf2
Ndufb3,Ndufb3
Eng,Eng
LOC100757436,BC024139
Chn2,Chn2
Stag2,Stag2
Ercc6l,Ercc6l
Klhl42,Klhl42
Dusp18,Dusp18
Pip4p1,Pip4p1
Pim3,Pim3
Ecpas,Ecpas
Naf1,Naf1
Itgax,Itgax
Nono,Nono
Tial1,Tial1
LOC100757463,Slc19a3
Fads2,Fads2
Ankrd34c,Ankrd34c
Glb1l3,Glb1l3
Uros,Uros
Kcnv2,Kcnv2
Emc3,Emc3
Rac3,Rac3
Lzts2,Lzts2
Arhgef10,Arhgef10
Exosc1,Exosc1
Lrrc57,Lrrc57
Cd3e,Cd3e
Enpep,Enpep
Bag5,Bag5
Igfbp2,Igfbp2
Ilf3,Ilf3
Dusp19,Dusp19
Calml4,Calml4
Dhx38,Dhx38
Rbm39,Rbm39
Mcf2,Mcf2
Rabggta,Rabggta
Slc7a4,Slc7a4
Lonrf2,Lonrf2
Pkp4,Pkp4
Gltp,Gltp
LOC100757511,Nsmce2
Mrps27,Mrps27
Rps6kb1,Rps6kb1
Qpctl,Qpctl
LOC100757517,Mbl1
Ube2g1,Ube2g1
Cep97,Cep97
Sos1,Sos1
Lpar1,Lpar1
Ube2d2,Ube2d2a
Dctn2,Dctn2
LOC100757526,P2ry10b
Rpgrip1,Rpgrip1
Ctr9,Ctr9
Ppp4r1,Ppp4r1
LOC100757535,Rbm14
Gng12,Gng12
Fkbp3,Fkbp3
Vax2,Vax2
Pgghg,Pgghg
Sltm,Sltm
Bpgm,Bpgm
Myo16,Myo16
Nckap5l,Nckap5l
Med13l,Med13l
Scp2,Scp2
Pdx1,Pdx1
Defb135,Defb30
Gli2,Gli2
S100z,S100z
Sin3b,Sin3b
Slc9a4,Slc9a4
Cmbl,Cmbl
Sync,Sync
Kics2,Kics2
Kif17,Kif17
Nedd1,Nedd1
Nme4,Nme4
Mydgf,Mydgf
Rad23a,Rad23a
Psmc2,Psmc2
Pml,Pml
Faap24,Faap24
Dido1,Dido1
Cavin4,Cavin4
Dcun1d2,Dcun1d2
Chtf8,Derpc
Nras,Nras
Efcab5,Efcab5
Slc43a1,Slc43a1
Prdm5,Prdm5
Abcc10,Abcc10
Ager,Ager
Ppp1r15a,Ppp1r15a
Znf574,Zfp574
Mrpl47,Mrpl47
Lamp3,Lamp3
Afm,Afm
Shank1,Shank1
Gfm1,Gfm1
Hars1,Hars1
Men1,Men1
Arl3,Arl3
LOC100757639,Or4f59
Gpr137,Gpr137
Gad2,Gad2
Rmdn1,Rmdn1
LOC100757645,Or13c7
Enkur,Enkur
Mark1,Mark1
Tpst1,Tpst1
Kctd2,Kctd2
Pgr,Pgr
LOC100757658,Aldh3a2
Nexn,Nexn
Fndc4,Fndc4
Rab10,Rab10
Ano6,Ano6
Sat2,Sat2
Madd,Madd
Cpa1,Cpa1
Mbip,Mbip
Hopx,Hopx
Dusp2,Dusp2
LOC100757671,Zfp868
Skp1,Skp1
Gsdme,Gsdme
Zbtb43,Zbtb43
Rpl19,Rpl19
Ubxn8,Ubxn8
Hsd17b10,Hsd17b10
Hdhd5,Hdhd5
Avpr1b,Avpr1b
Hdac9,Hdac9
Wasl,Wasl
Mbd3,Mbd3
Vsnl1,Vsnl1
Il7r,Il7r
Stk4,Stk4
Stard13,Stard13
Sema3a,Sema3a
Ccdc22,Ccdc22
LOC100757711,Or9g20
Def6,Def6
Rnmt,Rnmt
Slc26a11,Slc26a11
Centrin-2,Cetn4
Hycc2,Hycc2
Cdk9,Cdk9
Tenm1,Tenm1
Il17b,Il17b
Rer1,Rer1
Akap7,Akap7
Mov10l1,Mov10l1
Fgf3,Fgf3
Zfp41,Zfp41
LOC100757736,Or2k2
Fbxl19,Fbxl19
Col4a1,Col4a1
Rab2a,Rab2a
Klhl35,Klhl35
Agfg1,Agfg1
Tmed3,Tmed3
Dhx32,Dhx32
LOC100757759,Zfp772
Fancd2,Fancd2
Cul1,Cul1
Mex3b,Mex3b
Dmrt1,Dmrt1
Ldlrad3,Ldlrad3
Cln8,Cln8
Snx20,Snx20
Slc44a2,Slc44a2
Frzb,Frzb
Coro2b,Coro2b
Slc50a1,Slc50a1
Tgm1,Tgm1
Pcdh20,Pcdh20
Nup93,Nup93
Ptcd2,Ptcd2
Jam2,Jam2
Chrna2,Chrna2
Tfg,Tfg
Arhgef33,Arhgef33
Slc23a1,Slc23a1
LOC100757805,P2ry10
Ankrd31,Ankrd31
Irag1,Irag1
Rab31,Rab31
Timmdc1,Timmdc1
Cabp2,Cabp2
LOC100757817,Krt34
Rbfox2,Rbfox2
Hmbs,Hmbs
Trem2,Trem2
Ankrd53,Ankrd53
LOC100757825,Ifitm3
Tmem50b,Tmem50b
Ank2,Ank2
Slc46a1,Slc46a1
Tmbim6,Tmbim6
Tesc,Tesc
Spsb2,Spsb2
Zswim6,Zswim6
Fnbp1l,Fnbp1l
Polr1d,Polr1d
Stxbp3,Stxbp3
Kctd7,Kctd7
Stn1,Stn1
Tmem266,Tmem266
LOC100757854,Defb47
LOC100757858,Gstm4
F2rl1,F2rl1
LOC100757863,Uba52rt
Arf1,Arf1
Ralb,Ralb
Il18rap,Il18rap
Aig1,Aig1
Rbbp4,Rbbp4
Rxylt1,Rxylt1
Styxl1,Styxl1
Agpat5,Agpat5
Ccdc38,Ccdc38
Arhgdig,Arhgdig
Dpp9,Dpp9
Lyl1,Lyl1
Rem1,Rem1
Loxl1,Loxl1
Adnp,Adnp
Vash1,Vash1
Gid8,Gid8
Slc17a5,Slc17a5
Ints8,Ints8
P4ha1,P4ha1
Dlx4,Dlx4
Tmeff1,Tmeff1
Adprhl1,Adprhl1
Has3,Has3
Trpv5,Trpv5
Eftud2,Eftud2
Coasy,Coasy
Cmss1,Cmss1
Ampd1,Ampd1
Ankrd13b,Ankrd13b
Prg2,Prg2
Nrg1,Nrg1
Eif2ak2,Eif2ak2
Lrrc73,Lrrc73
Rnf5,Rnf5
Tulp2,Tulp2
Grik5,Grik5
Slc26a4,Slc26a4
B3gnt5,B3gnt5
Lxn,Lxn
Hars2,Hars2
Sfxn2,Sfxn2
LOC100757926,Or4k52
Snx6,Snx6
LOC100757928,Myo3a
Wwp1,Wwp1
LOC100757930,Or13c7c
Thnsl1,Thnsl1
Rab3gap2,Rab3gap2
Vkorc1l1,Vkorc1l1
Wdfy4,Wdfy4
Ccdc14,Ccdc14
Mrpl58,Mrpl58
Arhgap42,Arhgap42
Rnf112,Rnf112
Fah,Fah
Ift172,Ift172
Hadha,Hadha
Nnat,Nnat
Trappc6b,Trappc6b
Fxr2,Fxr2
Cep41,Cep41
Zdhhc16,Zdhhc16
Stard7,Stard7
Lias,Lias
Megf10,Megf10
Hoxd3,Hoxd3
Cdkl3,Cdkl3
Pals2,Pals2
Gucy2c,Gucy2c
Gsr,Gsr
Rhobtb3,Rhobtb3
Snta1,Snta1
Fam72a,Fam72a
Nfkbie,Nfkbie
Snx13,Snx13
Slc13a1,Slc13a1
Atp8b3,Atp8b3
Tirap,Tirap
Rab25,Rab25
Smc6,Smc6
Capsl,Capsl
Semg1,Semg1
Srrm1,Srrm1
Sema3e,Sema3e
Cacna1f,Cacna1f
Clic6,Clic6
Lipk,Lipk
LOC100758000,Or9g4b
Scube3,Scube3
Fam210a,Fam210a
Irak1bp1,Irak1bp1
Kif16b,Kif16b
Trim47,Trim47
Nif3l1,Nif3l1
Lrsam1,Lrsam1
Nrbp2,Nrbp2
Wwtr1,Wwtr1
Sh3tc2,Sh3tc2
Rnase10,Rnase10
Pex10,Pex10
Slc25a3,Slc25a3
Panx2,Panx2
Fgf4,Fgf4
Shoc1,Shoc1
Tacstd2,Tacstd2
Prss53,Prss53
Pthlh,Pthlh
Spink4,Spink4
LOC100758033,Or5b99
Bag3,Bag3
Atp6v0d2,Atp6v0d2
Rps3,Rps3
Gins2,Gins2
Npffr2,Npffr2
LOC100758043,Wdr19
Minar1,Minar1
Jam3,Jam3
LOC100758048,Tmprss11c
Ezh2,Ezh2
Fpr1,Fpr1
Dlgap2,Dlgap2
Ccnt1,Ccnt1
Tns1,Tns1
Nwd1,Nwd1
Cyld,Cyld
Ift57,Ift57
Anp32a,Anp32a
Herc4,Herc4
Efna1,Efna1
Gmpr2,Gmpr2
Aff3,Aff3
Slc12a3,Slc12a3
Znf366,Zfp366
Hsf5,Hsf5
Liph,Liph
Mrpl39,Mrpl39
Ptk2b,Ptk2b
Rsph6a,Rsph6a
Mat1a,Mat1a
Spns2,Spns2
Senp7,Senp7
Ecscr,Ecscr
Arhgef40,Arhgef40
Grpr,Grpr
Polk,Polk
Rnf141,Rnf141
Phaf1,Phaf1
Tmem39a,Tmem39a
Rcan2,Rcan2
Rbm4b,Rbm4b
Ttc36,Ttc36
Cdc42bpg,Cdc42bpg
Trmt112,Trmt112
LOC100758110,Krt32
Vps11,Vps11
Unc5cl,Unc5cl
Nagk,Nagk
Smndc1,Smndc1
Rgma,Rgma
Cryzl1,Cryzl1
Gtse1,Gtse1
Sarm1,Sarm1
Nos1,Nos1
Lrrc23,Lrrc23
Rbak,Rbak
Lnx2,Lnx2
Trabd2b,Trabd2b
Dock7,Dock7
Etfa,Etfa
Slc39a9,Slc39a9
Ccnl1,Ccnl1
LOC100758150,Ap1ar
Tmem9,Tmem9
Fkbp8,Fkbp8
Nmur2,Nmur2
Med1,Med1
Il18r1,Il18r1
Phactr2,Phactr2
Aatf,Aatf
Ppm1h,Ppm1h
Col8a2,Col8a2
Mcph1,Mcph1
Axin1,Axin1
Plin3,Plin3
Cacna1a,Cacna1a
Reln,Reln
Defb123,Defb36
Nptn,Nptn
Kcng1,Kcng1
Nudt19,Nudt19
Prox2,Prox2
Slc17a9,Slc17a9
Cgas,Cgas
Tp53inp1,Trp53inp1
Dlx3,Dlx3
Pcid2,Pcid2
Cdh1,Cdh1
Ccdc103,Ccdc103
Mlx,Mlx
Kl,Kl
Git1,Git1
Prg3,Prg3
Rab39b,Rab39b
Arhgef25,Arhgef25
Scrn1,Scrn1
Tctn3,Tctn3
LOC100758204,Slc25a2
Polr1c,Polr1c
Agpat1,Agpat1
Glra3,Glra3
Atp1a3,Atp1a3
Kcnmb3,Kcnmb3
Cbll1,Cbll1
LOC100758214,Pf4
Lrrc4b,Lrrc4b
Lhx3,Lhx3
Wbp1l,Wbp1l
LOC100758221,Or5an6
Efcab10,Efcab10
LOC100758224,Or13c7d
Iars2,Iars2
Ppp4r2,Ppp4r2
Mrps22,Mrps22
Abcd2,Abcd2
Mfap4,Mfap4
Slc24a2,Slc24a2
Hadhb,Hadhb
Pnn,Pnn
Sox15,Sox15
Mest,Mest
Polh,Polh
Ubtd1,Ubtd1
Tmem127,Tmem127
Ndrg1,Ndrg1
Nup43,Nup43
LOC100758257,Armc7
Rbpms,Rbpms
Ap1m2,Ap1m2
Smc1a,Smc1a
Srgap2,Srgap2
Slc35b2,Slc35b2
Hyal4,Hyal4
Foxred1,Foxred1
Lamtor2,Lamtor2
Upp2,Upp2
LOC100758278,Amacr
